Position,Name,Year,URL,Description
1,Fear and Desire,1953,https://boxd.it/1WVq,
2,Killer's Kiss,1955,https://boxd.it/1Xcc,
3,Frankenstein,1931,https://boxd.it/25Te,
4,The Addiction,1995,https://boxd.it/1cZQ,
5,The Blair Witch Project,1999,https://boxd.it/26ua,
6,Mad God,2021,https://boxd.it/vVPm,
7,Westworld,1973,https://boxd.it/26RS,
8,Black Dynamite,2009,https://boxd.it/1wX6,
9,Koyaanisqatsi,1982,https://boxd.it/1U9E,
10,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,
11,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
12,Paths of Glory,1957,https://boxd.it/29b6,
13,Attack the Block,2011,https://boxd.it/hFO,
14,Targets,1968,https://boxd.it/1Fbq,
15,Computer Chess,2013,https://boxd.it/4Y1g,
16,Point Blank,1967,https://boxd.it/1uAE,
17,Happy Death Day,2017,https://boxd.it/fDz4,
18,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
19,Good Morning,1959,https://boxd.it/2lkk,
20,The Babadook,2014,https://boxd.it/77xu,
21,The House of the Devil,2009,https://boxd.it/1uIe,
22,Cast a Deadly Spell,1991,https://boxd.it/2jwo,
23,Lady Snowblood,1973,https://boxd.it/26Fi,
24,Escape Room,2019,https://boxd.it/iYlS,
25,Happy Death Day 2U,2019,https://boxd.it/ixt6,
26,Candyman,1992,https://boxd.it/1Ys6,
27,Solaris,2002,https://boxd.it/27qS,
28,Vanishing Point,1971,https://boxd.it/1SH0,
29,After Hours,1985,https://boxd.it/1VfS,
30,Beetlejuice,1988,https://boxd.it/24QI,
31,The Dark Crystal,1982,https://boxd.it/1Tm8,
32,Clue,1985,https://boxd.it/1MDQ,
33,Green Room,2015,https://boxd.it/a75m,
34,Dredd,2012,https://boxd.it/GZE,
35,Raw,2016,https://boxd.it/dLd2,
36,Men in Black,1997,https://boxd.it/2a0I,
37,eXistenZ,1999,https://boxd.it/27Ni,
38,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
39,The Beach Bum,2019,https://boxd.it/fH4O,
40,Melvin and Howard,1980,https://boxd.it/15ey,
41,Brigsby Bear,2017,https://boxd.it/ebkS,
42,Liar Liar,1997,https://boxd.it/28sg,
43,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,
44,All of Me,1984,https://boxd.it/1VMi,
45,Bedazzled,2000,https://boxd.it/28qu,
46,Addams Family Values,1993,https://boxd.it/26mq,
47,Tremors,1990,https://boxd.it/1YSe,
48,Josie and the Pussycats,2001,https://boxd.it/1Fdm,
49,Real Life,1979,https://boxd.it/1fR6,
